2025-12-02 19:26:44 | ERROR | ❌ Токен бота не указан!
2025-12-02 19:27:47 | ERROR | ❌ Токен бота не указан!
2025-12-02 19:28:23 | ERROR | ❌ Токен бота не указан!
2025-12-02 19:28:35 | INFO | Запуск бота...
2025-12-02 19:28:40 | INFO | ✅ Бот запущен
2025-12-02 19:29:11 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 94
2025-12-02 19:29:12 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 92
2025-12-02 19:29:13 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 105
2025-12-02 19:29:19 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 82
2025-12-02 19:29:46 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 94
2025-12-02 19:29:47 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 92
2025-12-02 19:29:48 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 105
2025-12-02 20:45:35 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:46:26 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:46:35 | INFO | Запуск бота...
2025-12-02 20:46:35 | INFO | ✅ Бот запущен
2025-12-02 20:46:47 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 120
2025-12-02 20:46:48 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 118
2025-12-02 20:46:49 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 131
2025-12-02 20:47:14 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:47:20 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:47:24 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:48:53 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:50:24 | ERROR | ❌ Токен бота не указан!
2025-12-02 20:52:28 | INFO | Запуск бота...
2025-12-02 20:52:28 | INFO | ✅ Бот запущен
2025-12-02 20:53:03 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 120
2025-12-02 20:53:04 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 118
2025-12-02 20:53:05 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 131
2025-12-02 20:57:27 | ERROR | Ошибка запуска бота: name 'MessageFormatter' is not defined
2025-12-02 20:58:11 | INFO | Запуск бота...
2025-12-02 20:58:12 | INFO | ✅ Бот запущен
2025-12-02 20:58:19 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 120
2025-12-02 20:58:20 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 118
2025-12-02 20:58:21 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 131
2025-12-02 20:58:47 | ERROR | Ошибка отправки в чат 5288640039: Can't parse entities: unsupported start tag "small" at byte offset 108
2025-12-02 21:01:47 | INFO | Запуск бота...
2025-12-02 21:01:47 | INFO | ✅ Бот запущен
2025-12-02 21:01:54 | INFO | Сообщение отправлено в чат 5288640039
2025-12-02 21:01:55 | INFO | Сообщение отправлено в чат 5288640039
2025-12-02 21:01:56 | INFO | Сообщение отправлено в чат 5288640039
2025-12-02 21:02:07 | INFO | Сообщение отправлено в чат 5288640039
